index,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_Bajo,floor_Entreplanta exterior,floor_Entreplanta interior,floor_Semi-sótano exterior,floor_Semi-sótano interior,floor_Sótano exterior,floor_Sótano interior,buy_price
0,0,0,0,64.0,2,1.0,1,0,0,0,0,0,0,40.34326305,-3.688352297394898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
1,0,1,0,70.0,3,1.0,1,1,0,0,1,0,0,40.3551089,-3.7001047141537535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129900
2,0,0,0,94.0,2,2.0,1,1,0,1,0,0,0,40.345538899999994,-3.7109697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144247
3,0,0,0,64.0,2,1.0,1,1,0,1,0,0,0,40.345538899999994,-3.7109697,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,109900
4,0,0,0,108.0,2,2.0,1,1,1,1,0,0,1,40.3558406,-3.6883988896386386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260000
5,0,0,0,126.0,4,2.0,1,0,1,0,1,1,0,40.345538899999994,-3.7109697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195000
6,0,0,0,120.0,5,2.0,1,0,1,1,1,1,1,40.345538899999994,-3.7109697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000
7,0,0,0,125.0,3,2.0,1,0,0,0,1,0,0,40.345538899999994,-3.7109697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198500
8,0,1,0,85.0,2,1.0,1,0,0,0,1,0,0,40.3558406,-3.6883988896386386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,131400
9,0,1,0,69.0,2,2.0,1,0,0,0,1,0,0,40.345538899999994,-3.7109697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000
10,0,0,0,123.0,3,2.0,1,1,0,0,0,0,0,40.3558406,-3.6883988896386386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,195000
11,0,0,0,109.0,3,2.0,1,1,0,1,1,0,0,40.3551089,-3.7001047141537535,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205000
12,0,0,0,64.0,3,1.0,1,0,0,0,1,0,0,40.34326305,-3.688352297394898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72000
13,0,0,0,115.0,3,1.0,1,0,0,0,1,0,0,40.3558406,-3.6883988896386386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184900
14,0,0,0,65.0,3,1.0,1,0,0,0,1,0,0,40.3551089,-3.7001047141537535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90000
15,0,1,0,75.0,3,1.0,1,1,0,0,1,0,0,40.345538899999994,-3.7109697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129900
16,0,0,0,60.0,2,1.0,1,0,0,0,0,0,0,40.34326305,-3.688352297394898,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94900
17,0,0,0,60.0,2,1.0,1,0,0,0,1,0,0,40.345538899999994,-3.7109697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89900
18,0,0,0,95.0,4,2.0,1,0,0,0,0,0,0,40.3551089,-3.7001047141537535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144900
19,0,1,0,76.0,3,1.0,1,0,0,0,1,0,0,40.345538899999994,-3.7109697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000
20,0,0,0,75.0,3,1.0,1,0,1,0,1,0,0,40.345538899999994,-3.7109697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138000
21,0,0,0,112.0,4,2.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000
22,0,1,0,65.0,3,1.0,1,1,0,0,0,0,1,40.3558406,-3.6883988896386386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
23,0,0,0,70.0,2,1.0,1,0,0,0,1,1,0,40.345538899999994,-3.7109697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145900
24,0,0,0,123.0,3,2.0,1,1,1,1,0,0,1,40.3558406,-3.6883988896386386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298000
25,0,0,0,72.0,2,1.0,1,0,1,0,0,1,0,40.345538899999994,-3.7109697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138000
26,0,0,0,61.0,3,1.0,1,0,0,0,0,1,0,40.3399339,-3.6733878585167616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100000
27,0,1,0,71.0,3,1.0,1,0,0,0,1,0,0,40.345538899999994,-3.7109697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131400
28,0,1,0,87.0,3,1.0,1,0,0,0,1,0,0,40.3558406,-3.6883988896386386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96000
29,1,0,0,125.0,3,3.0,1,1,0,1,1,0,1,40.3399339,-3.6733878585167616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,275000
30,0,0,1,97.0,2,2.0,1,1,0,0,1,0,1,40.3399339,-3.6733878585167616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266122
31,0,0,1,93.0,2,2.0,1,1,0,0,1,0,1,40.3399339,-3.6733878585167616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,228273
32,0,0,0,103.0,4,2.0,1,1,0,1,0,0,0,40.3551089,-3.7001047141537535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171900
