,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
5013,1,0,80.0,3,1.0,4.0,1,0,0,0,1,0,0,40.3946832,-3.7682788,139000
5016,0,0,74.0,2,1.0,1.0,1,0,0,1,1,0,0,40.4048009,-3.7452693,180000
5018,0,0,65.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4048009,-3.7452693,126000
5020,1,0,70.0,3,1.0,1.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,126000
5021,1,0,75.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3814589,-3.7803772000000007,170000
5023,0,0,70.0,2,1.0,0.5,1,1,0,0,0,0,0,40.4137225,-3.7271715,165000
5025,0,0,65.0,3,1.0,3.0,1,0,0,0,0,1,0,40.4137225,-3.7271715,165000
5026,0,0,59.0,2,1.0,1.0,1,0,0,0,0,1,0,40.4048009,-3.7452693,150000
5029,0,0,56.0,2,1.0,0.0,1,1,0,1,0,0,0,40.3814589,-3.7803772000000007,125000
5030,0,0,54.0,2,1.0,2.0,1,0,0,0,0,0,0,40.4048009,-3.7452693,129000
5033,0,0,76.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3856442,-3.760740564866897,154000
5038,1,0,73.0,3,1.0,3.0,1,1,0,1,1,0,0,40.3814589,-3.7803772000000007,110000
5041,0,0,67.0,3,1.0,3.0,1,0,1,0,0,0,0,40.3814589,-3.7803772000000007,149000
5042,1,0,62.0,2,1.0,1.0,0,0,0,0,1,0,0,40.3946832,-3.7682788,126000
5043,0,0,45.0,3,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,130000
5048,0,0,70.0,2,1.0,2.0,1,1,1,0,0,1,0,40.4137225,-3.7271715,235000
5053,0,0,90.0,2,2.0,4.0,1,1,1,1,0,0,1,40.4048009,-3.7452693,330000
5056,0,0,69.0,3,1.0,4.0,1,0,0,0,0,0,0,40.3946832,-3.7682788,130000
5057,0,0,62.0,2,1.0,3.0,1,1,0,0,1,0,0,40.4137225,-3.7271715,180000
5058,0,0,53.0,2,1.0,3.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,240000
5059,0,0,53.0,2,1.0,2.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,129000
5060,0,0,65.0,3,1.0,-1.0,1,0,0,0,1,0,0,40.406944,-3.726389,119000
5061,1,0,74.0,3,1.0,4.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,139000
5062,0,0,52.0,1,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,165000
5066,1,0,52.0,2,1.0,3.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,135000
5068,0,0,58.0,2,1.0,0.0,1,1,0,0,0,0,0,40.3814589,-3.7803772000000007,129000
5069,1,0,80.0,3,1.0,1.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,160000
5076,0,0,75.0,2,1.0,1.0,1,0,0,1,0,0,0,40.4137225,-3.7271715,230000
5077,0,0,61.0,3,1.0,3.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,169000
5078,0,0,78.0,2,1.0,1.0,1,0,0,1,1,0,0,40.3856442,-3.760740564866897,140000
5080,0,0,90.0,3,1.0,3.0,1,1,0,0,1,0,0,40.406944,-3.726389,260000
5081,0,0,79.0,3,1.0,1.0,1,1,1,1,1,0,0,40.3856442,-3.760740564866897,198000
5082,0,0,66.0,3,1.0,0.0,1,1,0,0,1,0,0,40.4137225,-3.7271715,165000
5085,0,0,66.0,2,1.0,3.0,1,0,0,0,1,0,0,40.3814589,-3.7803772000000007,126000
