,neighborhood_id,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,buy_price,buy_price_by_area,latitude,longitude
4950,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,66.0,3,1.0,3,True,False,False,False,False,False,False,132000,2000,40.4048009,-3.7452693
4951,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,77.0,2,1.0,3,True,True,False,False,True,False,False,295000,3831,40.4137225,-3.7271715
4952,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,60.0,1,1.0,Bajo,True,False,False,False,True,False,False,99000,1650,40.406944,-3.726389
4953,"Puerta del Ángel, Latina(Madrid)",HouseType 5: Áticos,False,False,35.0,0,1.0,3,True,True,False,True,True,False,False,134000,3829,40.4137225,-3.7271715
4954,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,42.0,2,1.0,1,True,False,False,False,False,True,False,168000,4000,40.4137225,-3.7271715
4955,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,80.0,2,1.0,1,True,True,False,False,False,False,False,210000,2625,40.3814589,-3.7803772
4956,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,85.0,2,2.0,1,True,True,False,False,True,True,False,225000,2647,40.4048009,-3.7452693
4957,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,True,False,86.0,4,1.0,2,True,True,False,False,False,False,False,265000,3081,40.4137225,-3.7271715
4958,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,88.0,2,1.0,3,True,False,False,False,False,False,False,196000,2227,40.4137225,-3.7271715
4959,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,110.0,4,2.0,1,True,True,True,True,True,False,False,269000,2445,40.3856442,-3.7607405648668966
4960,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,150.0,4,2.0,1,True,True,True,True,True,True,False,399990,2667,40.3856442,-3.7607405648668966
4961,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,93.0,3,1.0,2,True,True,False,False,False,False,False,219000,2355,40.4048009,-3.7452693
4962,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,3,1.0,3,True,False,False,False,False,True,False,156000,2400,40.4048009,-3.7452693
4963,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,102.0,4,2.0,1,True,False,True,True,True,False,False,285000,2794,40.3856442,-3.7607405648668966
4964,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,71.0,4,2.0,4,True,True,False,False,False,False,False,305000,4296,40.4048009,-3.7452693
4965,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,136.0,4,2.0,2,True,False,True,False,True,False,False,369000,2713,40.4048009,-3.7452693
4966,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,86.0,2,2.0,4,True,True,True,False,False,False,False,325000,3779,40.4137225,-3.7271715
4967,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,3,1.0,2,True,False,False,False,False,False,False,210000,2800,40.4137225,-3.7271715
