,house_type_id,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
10173,0,0,0,80.0,3,1.0,0.0,1,1,0,0,0,0,0,40.43820570000001,-3.6495784,199000
10176,0,0,0,62.0,2,1.0,1.0,1,1,0,0,0,1,0,40.43820570000001,-3.6495784,245000
10178,0,0,0,47.0,2,1.0,0.0,1,1,0,1,0,0,0,40.43737280000001,-3.6436099185322814,126000
10180,0,0,0,177.0,3,2.0,1.0,1,1,0,1,0,0,1,40.47538345,-3.669831997592169,650000
10181,0,0,0,60.0,2,1.0,5.0,1,1,0,0,0,0,0,40.4350329,-3.644171,179900
10182,0,0,0,90.0,3,2.0,3.0,1,0,0,0,1,0,0,40.4350329,-3.644171,250000
10183,1,0,0,118.0,2,3.0,5.0,1,1,1,1,0,0,1,40.47538345,-3.669831997592169,420000
10184,0,1,0,65.0,3,1.0,3.0,1,1,0,0,1,0,0,40.4350329,-3.644171,175000
10185,0,0,0,58.0,3,1.0,4.0,1,0,0,0,0,0,0,40.4350329,-3.644171,149000
10186,0,0,0,35.0,1,1.0,3.0,1,1,0,1,0,0,0,40.4350329,-3.644171,190000
10189,0,0,0,79.0,2,2.0,3.0,1,0,0,1,0,1,0,40.45824765,-3.6597056668499386,265000
10190,0,0,0,78.0,2,1.0,4.0,1,1,0,0,0,0,0,40.4350329,-3.644171,295000
10191,0,0,0,68.0,3,1.0,0.0,1,1,0,0,0,0,0,40.4350329,-3.644171,149000
10192,0,1,0,77.0,3,1.0,4.0,1,1,0,0,0,0,0,40.4350329,-3.644171,185000
10193,0,1,0,65.0,3,1.0,3.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,153000
10195,0,0,0,50.0,2,1.0,6.0,1,1,0,0,1,0,0,40.4426834,-3.6534541,165000
10196,0,0,0,55.0,1,1.0,2.0,1,1,1,0,0,0,0,40.43737280000001,-3.6436099185322814,260000
10197,0,0,0,75.0,3,2.0,3.0,1,0,0,0,1,0,0,40.4220402,-3.6517069,180000
10198,0,0,0,44.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,125000
10199,0,0,0,125.0,4,1.0,2.0,1,0,1,1,0,0,0,40.47538345,-3.669831997592169,485000
10200,0,1,0,65.0,3,1.0,3.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,153000
10201,2,1,0,255.0,4,3.0,4.0,1,1,0,0,1,0,1,40.46380445,-3.664578847937272,1200000
10202,0,0,0,63.0,3,1.0,3.0,1,1,0,0,0,0,0,40.4220402,-3.6517069,220000
10203,0,0,0,63.0,2,1.0,3.0,1,0,0,0,0,1,0,40.4220402,-3.6517069,175000
10204,0,1,0,59.0,2,1.0,1.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,134000
10206,0,1,0,110.0,4,2.0,2.0,1,1,0,1,1,1,0,40.45087879999999,-3.655924108363301,349000
10207,0,0,0,55.0,2,1.0,3.0,1,0,0,1,1,0,1,40.4426834,-3.6534541,299000
